№,Equipment category,Equipment category ru,Operation category,GOST,Name of GOST,ISO role,Process stage,Synonyms
1,"Milling machines (horizontal, vertical, CNC)",Фрезерные станки,milling,ГОСТ ISO 230-1-2018,Испытания станков. Геометрическая точность,primary,roughing,"milling machine; machining center; фрезерный станок"
1,"Milling machines (horizontal, vertical, CNC)",Фрезерные станки,milling,ГОСТ Р ИСО 10791,Испытания обрабатывающих центров,secondary,finishing,"machining center; фрезеровка"
2,"Lathes (universal, CNC)",Токарные станки,turning,ГОСТ ISO 230-1-2018,Испытания станков. Геометрическая точность,primary,roughing,"lathe; turning machine; токарный станок"
2,"Lathes (universal, CNC)",Токарные станки,turning,ГОСТ ISO 230-2-2016,Точность позиционирования осей станков,secondary,finishing,"cnc lathe; токарная обработка"
3,Grinding machines,Шлифовальные станки,grinding,ГОСТ ISO 230-1-2018,Испытания станков. Геометрическая точность,secondary,finishing,"grinder; grinding machine; шлифование"
3,Grinding machines,Шлифовальные станки,grinding,ГОСТ ISO 3875-2017,Испытания круглошлифовальных станков,primary,finishing,"cylindrical grinder; шлифовальный станок"
4,Drilling machines,Сверлильные станки,drilling,ГОСТ ISO 230-1-2018,Испытания станков. Геометрическая точность,secondary,roughing,"drill press; сверлильный станок"
4,Drilling machines,Сверлильные станки,drilling,ГОСТ Р EN 12717,Безопасность сверлильных станков,primary,roughing,"drilling machine; сверление"
5,Boring machines,Расточные станки,boring,ГОСТ ISO 230-4,Испытания станков с ЧПУ,primary,roughing,"boring machine; расточной станок"
6,Gear cutting machines,Зубообрабатывающие станки,gear cutting,ГОСТ ISO 12100,Безопасность машин,primary,roughing,"gear hobbing machine"
7,Machining centers (CNC),Обрабатывающие центры,cnc machining,ГОСТ Р ИСО 10791,Испытания обрабатывающих центров,primary,roughing,"machining center; cnc milling"
8,Bending machines,Гибочные станки,bending,ГОСТ ISO 16092-3,Безопасность механических прессов,primary,forming,"press brake; гибка металла"
9,"Shears (guillotine, disc)",Ножницы по металлу,cutting,ГОСТ ISO 16092-3,Безопасность механических прессов,secondary,cutting,"sheet metal shear"
10,"Presses (hydraulic, mechanical)",Прессы,pressing,ГОСТ ISO 16092-1,Безопасность прессов,primary,forming,"hydraulic press"
11,Forging machines,Кузнечные прессы,forging,ГОСТ ISO 16092-2,Безопасность кузнечных прессов,primary,forming,"forging press"
12,Welding machines,Сварочные аппараты,welding,ГОСТ Р МЭК 60974-1,Оборудование для дуговой сварки,primary,joining,"arc welding machine"
13,Soldering equipment,Паяльное оборудование,soldering,ГОСТ Р ИСО 4063,Классификация сварочных процессов,secondary,joining,"soldering station"
14,Heat treatment furnaces,Печи термообработки,heat treatment,ГОСТ Р 54892,Термическая обработка металлов,primary,finishing,"heat treatment furnace"
15,Injection molding machines,Литьевые машины,molding,ГОСТ ISO 12100,Безопасность машин,primary,forming,"injection molding machine"
16,Extruders,Экструдеры,extrusion,ГОСТ ISO 12100,Безопасность машин,primary,forming,"plastic extruder"
17,Vernier calipers,Штангенциркули,measurement,ГОСТ 166-89,Штангенциркули,primary,inspection,"vernier caliper"
18,Micrometers,Микрометры,measurement,ГОСТ 6507-90,Микрометры,primary,inspection,"micrometer"
19,Coordinate measuring machines (CMM),Координатно-измерительные машины,measurement,ГОСТ Р ИСО 10360,Испытания координатно-измерительных машин,primary,inspection,"CMM machine"
20,Optical measuring instruments,Оптические измерительные приборы,measurement,ГОСТ 2789-73,Параметры шероховатости поверхности,secondary,inspection,"optical measuring system"